,Open Time,End Time,TP,PNL,PNLQ
2021-10-14 13:06:00,2021-10-14 13:06:00.000,2021-10-14 14:51:00.000,1.28576,Profit,0.9230769230769198
2021-10-14 13:12:00,2021-10-14 13:12:00.000,2021-10-14 14:51:00.000,1.2847596159999999,Profit,0.8439215686274508
2021-10-14 13:18:00,2021-10-14 13:18:00.000,2021-10-14 14:51:00.000,1.2838376621055998,Profit,0.8439215686274508
2021-10-14 14:09:00,2021-10-14 14:09:00.000,2021-10-14 14:51:00.000,1.2784425735539249,Profit,0.6071987480438281
2021-10-14 15:06:00,2021-10-14 15:06:00.000,2021-10-14 15:24:00.000,1.2873088,Profit,1.2831471282454885
2021-10-14 23:03:00,2021-10-14 23:03:00.000,2021-10-14 23:06:00.000,1.261,Profit,0.2384737678855231
2021-10-15 00:03:00,2021-10-15 00:03:00.000,2021-10-15 00:14:59.999,1.267,Profit,0.2388535031847141
2021-10-15 09:00:00,2021-10-15 09:00:00.000,2021-10-15 09:54:00.000,1.59809248,Profit,4.999505913272003
2021-10-15 20:51:00,2021-10-15 20:51:00.000,2021-10-15 20:57:00.000,1.5186481425971416,Profit,0.5727246753073985
2021-10-15 22:18:00,2021-10-15 22:18:00.000,2021-10-15 22:33:00.000,1.524,Profit,1.6677785190126713
2021-10-15 23:06:00,2021-10-15 23:06:00.000,2021-10-15 23:39:00.000,1.562,Profit,2.695595003287309
2021-10-16 12:09:00,2021-10-16 12:09:00.000,2021-10-16 12:14:59.999,1.542352,Profit,0.06535947712418988
2021-10-16 18:18:00,2021-10-16 18:18:00.000,2021-10-16 18:29:59.999,1.527,Profit,0.065963060686002
2021-10-16 18:21:00,2021-10-16 18:21:00.000,2021-10-16 18:29:59.999,1.527,Profit,0.19815059445178917
2021-10-17 03:57:00,2021-10-17 03:57:00.000,2021-10-17 04:12:00.000,1.509000264,Profit,0.6000175999999868
2021-10-17 04:00:00,2021-10-17 04:00:00.000,2021-10-17 04:12:00.000,1.50868025872,Profit,0.8016208416833592
2021-10-17 04:03:00,2021-10-17 04:03:00.000,2021-10-17 04:12:00.000,1.5083666535456,Profit,0.9364725083611916
2021-10-18 01:33:00,2021-10-18 01:33:00.000,2021-10-18 01:51:00.000,1.4826903260471296,Profit,0.521378037093541
2021-10-18 01:39:00,2021-10-18 01:39:00.000,2021-10-18 01:51:00.000,1.4813034044850346,Profit,0.8632874861992832
2021-10-18 02:12:00,2021-10-18 02:12:00.000,2021-10-18 03:00:00.000,1.48862,Profit,1.3356024506467037
2021-10-18 02:15:00,2021-10-18 02:15:00.000,2021-10-18 03:00:00.000,1.4877152,Profit,1.4046321525885759
2021-10-18 02:24:00,2021-10-18 02:24:00.000,2021-10-18 03:00:00.000,1.4841872486912,Profit,1.6122866894197898
2021-10-18 02:27:00,2021-10-18 02:27:00.000,2021-10-18 03:00:00.000,1.482976013769728,Profit,1.8904859685147102
2021-10-18 02:48:00,2021-10-18 02:48:00.000,2021-10-18 03:00:00.000,1.475,Profit,1.4046321525885759
2021-10-18 03:39:00,2021-10-18 03:39:00.000,2021-10-18 04:15:00.000,1.49813683584,Profit,1.5685990399999952
2021-10-18 03:57:00,2021-10-18 03:57:00.000,2021-10-18 04:15:00.000,1.4902072681417453,Profit,1.225461881081074
